"Genes"	"logFC: Main-effect Age"	"FDR: Main-effect Age"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000013089"	0.0276029561200899	0.0077637754717552	"Etv5"	"ets variant 5"
"ENSMUSG00000013523"	0.0237596630882084	0.00970703927987902	"Bcas1"	"breast carcinoma amplified sequence 1"
"ENSMUSG00000013584"	0.0610989583489606	0.00283151586111112	"Aldh1a2"	"aldehyde dehydrogenase family 1, subfamily A2"
"ENSMUSG00000014329"	0.05685027217902	0.00961667676592869	"Bicc1"	"bicaudal C homolog 1 (Drosophila)"
"ENSMUSG00000015053"	0.0593197177993159	0.0264998399394167	"Gata2"	"GATA binding protein 2"
"ENSMUSG00000015090"	0.0324901678000024	3.5729166707389e-08	"Ptgds"	"prostaglandin D2 synthase (brain)"
"ENSMUSG00000015133"	0.0593928537023666	0.0221245149972903	"Lrrk1"	"leucine-rich repeat kinase 1"
"ENSMUSG00000015243"	0.0260636983818453	0.00915737004034451	"Abca1"	"ATP-binding cassette, sub-family A (ABC1), member 1"
"ENSMUSG00000015340"	0.139527041254188	0.0035505358553417	"Cybb"	"cytochrome b-245, beta polypeptide"
"ENSMUSG00000015355"	0.174690188798087	0.00110271494385791	"Cd48"	"CD48 antigen"
"ENSMUSG00000015950"	0.0619126983000213	0.00854807776965023	"Ncf1"	"neutrophil cytosolic factor 1"
"ENSMUSG00000016179"	0.0343995609001094	0.00209833280284782	"Camk1g"	"calcium/calmodulin-dependent protein kinase I gamma"
"ENSMUSG00000016256"	0.0402643108178981	0.000135414424466601	"Ctsz"	"cathepsin Z"
"ENSMUSG00000016496"	0.0861661479679883	0.000355817395101899	"Cd274"	"CD274 antigen"
"ENSMUSG00000016559"	0.0213994441495104	0.0361647591698807	"H3f3b"	"histone H3.3-like"
"ENSMUSG00000018476"	-0.0321228644442601	0.0141640518837527	"Kdm6b"	"KDM1 lysine (K)-specific demethylase 6B"
"ENSMUSG00000018819"	0.056684933585164	0.0432820526040244	"Lsp1"	"lymphocyte specific 1"
"ENSMUSG00000018927"	0.107807362428242	0.033266309357994	"Ccl6"	"chemokine (C-C motif) ligand 6"
"ENSMUSG00000019232"	0.0664826243343633	1.31930862104699e-18	"Etnppl"	"ethanolamine phosphate phospholyase"
"ENSMUSG00000019874"	-0.054960858567747	0.000522984049961745	"Fabp7"	"fatty acid binding protein 7, brain"
"ENSMUSG00000019929"	0.0364871986572997	0.0139584619304899	"Dcn"	"decorin"
"ENSMUSG00000019970"	0.0196750503098757	0.0304278937550949	"Sgk1"	"serum/glucocorticoid regulated kinase 1"
"ENSMUSG00000020101"	0.0286446013604896	0.0419037196803398	"4632428N05Rik"	"RIKEN cDNA 4632428N05 gene"
"ENSMUSG00000020241"	0.0327180920517954	0.0293323043341687	"Col6a2"	"collagen, type VI, alpha 2"
"ENSMUSG00000020287"	0.0496021443476701	0.0270366009719655	"Mpg"	"N-methylpurine-DNA glycosylase"
"ENSMUSG00000020385"	-0.0221241376266068	0.0321632707568618	"Clk4"	"CDC like kinase 4"
"ENSMUSG00000020423"	-0.0753299369825107	7.29076417615883e-12	"Btg2"	"B cell translocation gene 2, anti-proliferative"
"ENSMUSG00000020473"	0.037629408679154	0.013245578118705	"Aebp1"	"AE binding protein 1"
"ENSMUSG00000020522"	-0.0296905076101617	0.0222576467729113	"Mfap3"	"microfibrillar-associated protein 3"
"ENSMUSG00000020573"	0.0624054337262922	0.0431379849741427	"Pik3cg"	"phosphoinositide-3-kinase, catalytic, gamma polypeptide"
"ENSMUSG00000020641"	0.0835780268473903	0.0118285191359459	"Rsad2"	"radical S-adenosyl methionine domain containing 2"
"ENSMUSG00000020889"	-0.0293990133547705	0.000397375266975778	"Nr1d1"	"nuclear receptor subfamily 1, group D, member 1"
"ENSMUSG00000020893"	-0.0344166308268861	4.22567283875827e-06	"Per1"	"period circadian clock 1"
"ENSMUSG00000020932"	0.079741144965303	7.00574393738521e-42	"Gfap"	"glial fibrillary acidic protein"
"ENSMUSG00000021091"	0.087430103813875	1.14221935858918e-20	"Serpina3n"	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
"ENSMUSG00000021238"	0.0216915145079319	0.0302595369619317	"Aldh6a1"	"aldehyde dehydrogenase family 6, subfamily A1"
"ENSMUSG00000021250"	-0.106137208932182	5.75795289867489e-33	"Fos"	"FBJ osteosarcoma oncogene"
"ENSMUSG00000021390"	0.0555489276885834	0.00393156982154578	"Ogn"	"osteoglycin"
"ENSMUSG00000021423"	0.0455417022423788	0.0357984820963312	"Ly86"	"lymphocyte antigen 86"
"ENSMUSG00000021453"	-0.0451520734937706	0.0255894105599877	"Gadd45g"	"growth arrest and DNA-damage-inducible 45 gamma"
"ENSMUSG00000021670"	-0.0228575339121564	0.0123768523121038	"Hmgcr"	"3-hydroxy-3-methylglutaryl-Coenzyme A reductase"
"ENSMUSG00000021676"	0.026011767716255	0.0453508995864715	"Iqgap2"	"IQ motif containing GTPase activating protein 2"
"ENSMUSG00000021709"	0.0209899158087289	0.0293252090266849	"Erbb2ip"	"Erbb2 interacting protein"
"ENSMUSG00000021750"	0.018676446016738	0.0297735534426588	"Fam107a"	"family with sequence similarity 107, member A"
"ENSMUSG00000021903"	0.0494853420673871	0.0339972539549587	"Galnt15"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15"
"ENSMUSG00000021948"	0.033083215967438	0.000123274228621933	"Prkcd"	"protein kinase C, delta"
"ENSMUSG00000021998"	0.0580304676773147	0.0013098958205758	"Lcp1"	"lymphocyte cytosolic protein 1"
"ENSMUSG00000022146"	0.0554311134536852	0.0182943560124884	"Osmr"	"oncostatin M receptor"
"ENSMUSG00000022148"	0.070771332579045	0.0264998399394167	"Fyb"	"FYN binding protein"
"ENSMUSG00000022208"	-0.0239668252414008	0.00284025120527697	"Jph4"	"junctophilin 4"
"ENSMUSG00000022272"	-0.0237435600368744	0.0497438059713825	"Myo10"	"myosin X"
"ENSMUSG00000022311"	-0.0247476294609522	0.0210960132170549	"Csmd3"	"CUB and Sushi multiple domains 3"
"ENSMUSG00000022468"	0.0782647388674871	0.014491331479449	"Endou"	"endonuclease, polyU-specific"
"ENSMUSG00000022488"	0.039401137725156	0.0304943079006661	"Nckap1l"	"NCK associated protein 1 like"
"ENSMUSG00000022507"	-0.0301615316649699	0.00202269166887172	"1810013L24Rik"	"RIKEN cDNA 1810013L24 gene"
"ENSMUSG00000022548"	0.06601146434117	5.6588654362863e-26	"Apod"	"apolipoprotein D"
"ENSMUSG00000022602"	-0.103899071312546	5.31228610201853e-54	"Arc"	"activity regulated cytoskeletal-associated protein"
"ENSMUSG00000022817"	0.0288482152027102	0.0103327338078964	"Itgb5"	"integrin beta 5"
"ENSMUSG00000022906"	0.0686750930232649	0.0105563977933529	"Parp9"	"poly (ADP-ribose) polymerase family, member 9"
"ENSMUSG00000023034"	-0.0552669490004321	2.60038495866324e-14	"Nr4a1"	"nuclear receptor subfamily 4, group A, member 1"
"ENSMUSG00000023067"	0.040795825770324	0.0288514252093879	"Cdkn1a"	"cyclin-dependent kinase inhibitor 1A (P21)"
"ENSMUSG00000023186"	0.0380697889765294	0.00658136045643153	"Vwa5a"	"von Willebrand factor A domain containing 5A"
"ENSMUSG00000023805"	0.0222199391216028	0.0256261119883274	"Synj2"	"synaptojanin 2"
"ENSMUSG00000023959"	0.0571748477980471	0.000684376410055262	"Clic5"	"chloride intracellular channel 5"
"ENSMUSG00000024042"	-0.0746961673476881	3.01518800603945e-11	"Sik1"	"salt inducible kinase 1"
"ENSMUSG00000024066"	0.0770271474144088	2.64313757309147e-08	"Xdh"	"xanthine dehydrogenase"
"ENSMUSG00000024087"	0.109852804431512	1.44497695641112e-07	"Cyp1b1"	"cytochrome P450, family 1, subfamily b, polypeptide 1"
"ENSMUSG00000024164"	0.14951103101246	4.14829642990186e-07	"C3"	"complement component 3"
"ENSMUSG00000024176"	-0.032517133952349	0.00120320386469791	"Sox8"	"SRY (sex determining region Y)-box 8"
"ENSMUSG00000024190"	-0.0639849498888104	3.98522633840829e-11	"Dusp1"	"dual specificity phosphatase 1"
"ENSMUSG00000024222"	0.0406003563062212	4.21815197116479e-06	"Fkbp5"	"FK506 binding protein 5"
"ENSMUSG00000024300"	0.0876006093859167	0.000639562489978761	"Myo1f"	"myosin IF"
"ENSMUSG00000024501"	-0.0264913827832992	0.0123356075514288	"Dpysl3"	"dihydropyrimidinase-like 3"
"ENSMUSG00000024610"	0.140695844677557	2.08817876550148e-15	"Cd74"	"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"ENSMUSG00000024659"	0.0979792304052501	0.0112852121244417	"Anxa1"	"annexin A1"
"ENSMUSG00000024793"	-0.0877457194396229	9.40534015345839e-05	"Tnfrsf25"	"tumor necrosis factor receptor superfamily, member 25"
"ENSMUSG00000024866"	0.094952311474619	0.0255894105599877	"Acy3"	"aspartoacylase (aminoacylase) 3"
"ENSMUSG00000024998"	0.0357478429670592	0.00970703927987902	"Plce1"	"phospholipase C, epsilon 1"
"ENSMUSG00000025006"	0.024680434627387	0.0186522082881559	"Sorbs1"	"sorbin and SH3 domain containing 1"
"ENSMUSG00000025270"	0.193692334483753	8.48951451395118e-25	"Alas2"	"aminolevulinic acid synthase 2, erythroid"
"ENSMUSG00000025492"	0.0731842309030493	0.000625627913290633	"Ifitm3"	"interferon induced transmembrane protein 3"
"ENSMUSG00000025498"	0.161585272963431	6.74571393315974e-12	"Irf7"	"interferon regulatory factor 7"
"ENSMUSG00000025608"	0.035529925532927	0.000408589493515518	"Podxl"	"podocalyxin-like"
"ENSMUSG00000025780"	0.0389226447995999	8.57588546267169e-06	"Itih5"	"inter-alpha (globulin) inhibitor H5"
"ENSMUSG00000025981"	-0.0489890205434346	8.03350523758177e-05	"Coq10b"	"coenzyme Q10 homolog B (S. cerevisiae)"
"ENSMUSG00000026034"	-0.0214296161284649	0.0268380825319648	"Clk1"	"CDC-like kinase 1"
"ENSMUSG00000026177"	0.0810551481331426	0.0131544249729269	"Slc11a1"	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
"ENSMUSG00000026193"	0.03408672457292	0.000174386077809239	"Fn1"	"fibronectin 1"
"ENSMUSG00000026285"	0.206955504910633	0.0345229086982933	"Pdcd1"	"programmed cell death 1"
"ENSMUSG00000026303"	0.0762384459342078	0.0171798082637947	"Mlph"	"melanophilin"
"ENSMUSG00000026365"	0.0560320184770154	2.96156320426161e-06	"Cfh"	"complement component factor h"
"ENSMUSG00000026380"	0.0455962530620391	0.0288514252093879	"Tfcp2l1"	"transcription factor CP2-like 1"
"ENSMUSG00000026395"	0.0616193053307796	0.0153704654107175	"Ptprc"	"protein tyrosine phosphatase, receptor type, C"
"ENSMUSG00000026473"	0.0153344367607673	0.0422529896143695	"Glul"	"glutamate-ammonia ligase (glutamine synthetase)"
"ENSMUSG00000026502"	-0.0334301764369185	0.0099924326119026	"Desi2"	"desumoylating isopeptidase 2"
"ENSMUSG00000026656"	0.0890854431960389	0.000842060877116536	"Fcgr2b"	"Fc receptor, IgG, low affinity IIb"
"ENSMUSG00000026712"	0.0874830081627853	0.00652239550604603	"Mrc1"	"mannose receptor, C type 1"
"ENSMUSG00000026728"	0.0424837328707076	1.86702007554417e-06	"Vim"	"vimentin"
"ENSMUSG00000026822"	0.410067105729901	9.76283590002561e-26	"Lcn2"	"lipocalin 2"
"ENSMUSG00000026826"	-0.0351881008795303	0.00025784217986274	"Nr4a2"	"nuclear receptor subfamily 4, group A, member 2"
"ENSMUSG00000026960"	-0.0447145155632758	0.0361600093801763	"Arl6ip6"	"ADP-ribosylation factor-like 6 interacting protein 6"
"ENSMUSG00000027078"	0.0770077685420719	0.000974961482471019	"Ube2l6"	"ubiquitin-conjugating enzyme E2L 6"
"ENSMUSG00000027199"	0.0217257247423719	0.0210960132170549	"Gatm"	"glycine amidinotransferase (L-arginine:glycine amidinotransferase)"
"ENSMUSG00000027301"	-0.0859579603931645	0.00781043259674856	"Oxt"	"oxytocin"
"ENSMUSG00000027514"	0.224048512223517	0.00209833280284782	"Zbp1"	"Z-DNA binding protein 1"
"ENSMUSG00000027555"	0.0965208566694146	0.0133713081816213	"Car13"	"carbonic anhydrase 13"
"ENSMUSG00000027669"	-0.0337852253247335	0.000972710655630428	"Gnb4"	"guanine nucleotide binding protein (G protein), beta 4"
"ENSMUSG00000027674"	0.0209554099661911	0.0184185287736879	"Pex5l"	"peroxisomal biogenesis factor 5-like"
"ENSMUSG00000028195"	-0.104509369480901	7.39975043755383e-10	"Cyr61"	"cysteine rich protein 61"
"ENSMUSG00000028214"	-0.0863774349101545	0.029701502769888	"Gem"	"GTP binding protein (gene overexpressed in skeletal muscle)"
"ENSMUSG00000028268"	0.0660733045110152	0.000687036757696318	"Gbp3"	"guanylate binding protein 3"
"ENSMUSG00000028270"	0.148319741928701	1.53878987118801e-15	"Gbp2"	"guanylate binding protein 2"
"ENSMUSG00000028341"	-0.0508299934049532	1.34716628131117e-08	"Nr4a3"	"nuclear receptor subfamily 4, group A, member 3"
"ENSMUSG00000028581"	0.0357390037259994	0.00136410209448376	"Laptm5"	"lysosomal-associated protein transmembrane 5"
"ENSMUSG00000028645"	0.0222082440689736	0.017115882806911	"Slc2a1"	"solute carrier family 2 (facilitated glucose transporter), member 1"
"ENSMUSG00000028693"	-0.034267520483629	0.0320273769903846	"Nasp"	"nuclear autoantigenic sperm protein (histone-binding)"
"ENSMUSG00000028756"	0.0190695625425374	0.0250303463535913	"Pink1"	"PTEN induced putative kinase 1"
"ENSMUSG00000028804"	-0.0256423176766929	0.0105563977933529	"Csmd2"	""
"ENSMUSG00000028920"	-0.027456879084919	0.0118285191359459	"Fbxo42"	"F-box protein 42"
"ENSMUSG00000029135"	-0.0348584681525769	0.000388250381011578	"Fosl2"	"fos-like antigen 2"
"ENSMUSG00000029298"	0.109981371489191	1.86340680149392e-07	"Gbp9"	"guanylate-binding protein 9"
"ENSMUSG00000029304"	0.0576308740431524	5.30263576413137e-06	"Spp1"	"secreted phosphoprotein 1"
"ENSMUSG00000029561"	0.0915581199476512	6.2233608767266e-06	"Oasl2"	"2'-5' oligoadenylate synthetase-like 2"
"ENSMUSG00000029605"	0.146904508327285	0.0111401590187909	"Oas1b"	"2'-5' oligoadenylate synthetase 1B"
"ENSMUSG00000029657"	-0.0229985053908135	0.00609933992793253	"Hsph1"	"heat shock 105kDa/110kDa protein 1"
"ENSMUSG00000029675"	0.0547525456266339	0.0426521767231448	"Eln"	"elastin"
"ENSMUSG00000029816"	0.110311874993784	3.06929325124864e-06	"Gpnmb"	"glycoprotein (transmembrane) nmb"
"ENSMUSG00000029826"	0.0518105785297959	0.00881244194459014	"Zc3hav1"	"zinc finger CCCH type, antiviral 1"
"ENSMUSG00000029843"	0.0392536443911208	0.0349504214008684	"Slc13a4"	"solute carrier family 13 (sodium/sulfate symporters), member 4"
"ENSMUSG00000030107"	0.108192506130677	0.0077637754717552	"Usp18"	"ubiquitin specific peptidase 18"
"ENSMUSG00000030108"	0.0584187555204557	0.00404873612372219	"Slc6a13"	"solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
"ENSMUSG00000030111"	0.112658832566085	5.25604602239279e-13	"A2m"	"alpha-2-macroglobulin"
"ENSMUSG00000030124"	0.0608645913924114	0.00212700096402587	"Lag3"	"lymphocyte-activation gene 3"
"ENSMUSG00000030168"	0.0235221320858559	0.0139584619304899	"Adipor2"	"adiponectin receptor 2"
"ENSMUSG00000030223"	-0.0286386820537689	0.0128944644454008	"Ptpro"	"protein tyrosine phosphatase, receptor type, O"
"ENSMUSG00000030513"	0.0324994253645536	0.0216401550450845	"Pcsk6"	"proprotein convertase subtilisin/kexin type 6"
"ENSMUSG00000030579"	0.0473422784304949	0.0181274685348195	"Tyrobp"	"TYRO protein tyrosine kinase binding protein"
"ENSMUSG00000030605"	-0.0213597772740075	0.0346764129652789	"Mfge8"	"milk fat globule-EGF factor 8 protein"
"ENSMUSG00000030772"	0.0205042700360969	0.0184185287736879	"Dkk3"	"dickkopf homolog 3 (Xenopus laevis)"
"ENSMUSG00000030789"	0.27464065351726	3.13643709172843e-10	"Itgax"	"integrin alpha X"
"ENSMUSG00000030921"	0.069736095933915	0.0133399202189245	"Trim30a"	"tripartite motif-containing 30A"
"ENSMUSG00000030946"	-0.0444132136622722	0.048189979254048	"Lhpp"	"phospholysine phosphohistidine inorganic pyrophosphate phosphatase"
"ENSMUSG00000031207"	0.0303558738507822	0.00846625480325404	"Msn"	"moesin"
"ENSMUSG00000031285"	-0.0305166506892346	0.00212700096402587	"Dcx"	"doublecortin"
"ENSMUSG00000031502"	0.0242991103788408	0.0315572686773873	"Col4a1"	"collagen, type IV, alpha 1"
"ENSMUSG00000031503"	0.0228554099074955	0.039786851147752	"Col4a2"	"collagen, type IV, alpha 2"
"ENSMUSG00000031604"	-0.020932192657325	0.0480753947372446	"Msmo1"	"methylsterol monoxygenase 1"
"ENSMUSG00000031841"	-0.0222120698592308	0.0338298608360598	"Cdh13"	"cadherin 13"
"ENSMUSG00000032193"	-0.0288343111319607	0.0157496363290747	"Ldlr"	"low density lipoprotein receptor"
"ENSMUSG00000032231"	0.0613598182215413	0.000570899994668911	"Anxa2"	"annexin A2"
"ENSMUSG00000032327"	0.067589181447502	0.000116267892324032	"Stra6"	"stimulated by retinoic acid gene 6"
"ENSMUSG00000032372"	0.0745348783654957	0.0428901366880933	"Plscr2"	"phospholipid scramblase 2"
"ENSMUSG00000032440"	0.04070087975725	0.0016049967962647	"Tgfbr2"	"transforming growth factor, beta receptor II"
"ENSMUSG00000032487"	0.0386014194554221	0.0191053324404245	"Ptgs2"	"prostaglandin-endoperoxide synthase 2"
"ENSMUSG00000032517"	0.0235406310065016	7.52465128691446e-05	"Mobp"	"myelin-associated oligodendrocytic basic protein"
"ENSMUSG00000032532"	-0.0219722265994899	0.0435503195094188	"Cck"	"cholecystokinin"
"ENSMUSG00000032572"	-0.054061880760348	0.0475875999292824	"Col6a4"	"collagen, type VI, alpha 4"
"ENSMUSG00000032690"	0.116722491656846	0.00949281657622953	"Oas2"	"2'-5' oligoadenylate synthetase 2"
"ENSMUSG00000032807"	0.0562855275940682	0.0453508995864715	"Alox12b"	"arachidonate 12-lipoxygenase, 12R type"
"ENSMUSG00000032816"	-0.0251638366818299	0.0191597457550675	"Igdcc4"	"immunoglobulin superfamily, DCC subclass, member 4"
"ENSMUSG00000032849"	0.0441926746630701	0.0109633211543154	"Abcc4"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
"ENSMUSG00000033316"	0.0279604921170596	0.00378465198920891	"Galnt9"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9"
"ENSMUSG00000033777"	0.0859303392993166	0.00486799631653093	"Tlr13"	"toll-like receptor 13"
"ENSMUSG00000033880"	0.0549464944978575	1.85313968980466e-06	"Lgals3bp"	"lectin, galactoside-binding, soluble, 3 binding protein"
"ENSMUSG00000034135"	0.0197444653891621	0.0426565559649937	"Sik3"	"SIK family kinase 3"
"ENSMUSG00000034413"	-0.036402184890973	0.00015833428024161	"Neurl1b"	"neuralized E3 ubiquitin protein ligase 1B"
"ENSMUSG00000034422"	0.0547478834409777	0.0277061986431026	"Parp14"	"poly (ADP-ribose) polymerase family, member 14"
"ENSMUSG00000034459"	0.0852985343999411	0.000284471395573547	"Ifit1"	"interferon-induced protein with tetratricopeptide repeats 1"
"ENSMUSG00000034579"	0.0711509960319023	0.000393271382286306	"Pla2g3"	"phospholipase A2, group III"
"ENSMUSG00000034640"	-0.0400686305956496	0.00113484040976859	"Tiparp"	"TCDD-inducible poly(ADP-ribose) polymerase"
"ENSMUSG00000034686"	-0.0494195677860871	0.0308641652618546	"Prr7"	"proline rich 7 (synaptic)"
"ENSMUSG00000035168"	0.0239166822588724	0.0255894105599877	"Tanc1"	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
"ENSMUSG00000035778"	0.0505413495968435	0.0371361255368396	"Ggta1"	"glycoprotein galactosyltransferase alpha 1, 3"
"ENSMUSG00000035929"	0.121533567398733	3.93033065303672e-10	"H2-Q4"	"histocompatibility 2, Q region locus 4"
"ENSMUSG00000036040"	-0.0551964165921458	0.0383135010122849	"Adamtsl2"	"ADAMTS-like 2"
"ENSMUSG00000036052"	-0.0260245638303081	0.00478573138945535	"Dnajb5"	"DnaJ (Hsp40) homolog, subfamily B, member 5"
"ENSMUSG00000036098"	0.0266996585440989	0.00357845377493043	"Myrf"	"myelin regulatory factor"
"ENSMUSG00000036594"	0.170078294192224	7.93238548458868e-10	"H2-Aa"	"histocompatibility 2, class II antigen A, alpha"
"ENSMUSG00000036777"	0.0507172063668596	6.71374070307142e-11	"Anln"	"anillin, actin binding protein"
"ENSMUSG00000036833"	0.0382152867631169	0.0105563977933529	"Pnpla7"	"patatin-like phospholipase domain containing 7"
"ENSMUSG00000036887"	0.0416278310096919	2.16529228502611e-05	"C1qa"	"complement component 1, q subcomponent, alpha polypeptide"
"ENSMUSG00000036896"	0.0447887506537714	1.11735962440597e-05	"C1qc"	"complement component 1, q subcomponent, C chain"
"ENSMUSG00000036905"	0.0412257922185351	2.33460617744029e-05	"C1qb"	"complement component 1, q subcomponent, beta polypeptide"
"ENSMUSG00000037095"	0.154798592261387	5.54813873888341e-05	"Lrg1"	"leucine-rich alpha-2-glycoprotein 1"
"ENSMUSG00000037169"	-0.0655961701324466	0.0118281889524779	"Mycn"	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"
"ENSMUSG00000037254"	0.0713782205750285	0.028599412232708	"Itih2"	"inter-alpha trypsin inhibitor, heavy chain 2"
"ENSMUSG00000037321"	0.0852852205911056	3.06466869767893e-05	"Tap1"	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
"ENSMUSG00000037405"	0.0792630614319363	0.0123356075514288	"Icam1"	"intercellular adhesion molecule 1"
"ENSMUSG00000037465"	-0.0479745221148999	6.50940293635333e-06	"Klf10"	"Kruppel-like factor 10"
"ENSMUSG00000037573"	-0.027920887231552	0.0109633211543154	"Tob1"	"transducer of ErbB-2.1"
"ENSMUSG00000037820"	0.079808448327741	2.40111299862768e-08	"Tgm2"	"transglutaminase 2, C polypeptide"
"ENSMUSG00000037868"	-0.118236164957785	3.70675101286638e-13	"Egr2"	"early growth response 2"
"ENSMUSG00000037921"	0.107362390991354	0.0029258803829774	"Ddx60"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 60"
"ENSMUSG00000038007"	0.0663429210772289	7.73338042079894e-07	"Acer2"	"alkaline ceramidase 2"
"ENSMUSG00000038244"	0.0195800601945255	0.0338298608360598	"Mical2"	"microtubule associated monooxygenase, calponin and LIM domain containing 2"
"ENSMUSG00000038255"	-0.0265283826223962	0.0229600792839761	"Neurod2"	"neurogenic differentiation 2"
"ENSMUSG00000038268"	-0.05617055556974	0.00334197757725694	"Ovca2"	"candidate tumor suppressor in ovarian cancer 2"
"ENSMUSG00000038393"	0.0471289287901286	1.49225962219706e-05	"Txnip"	"thioredoxin interacting protein"
"ENSMUSG00000038418"	-0.0475577718200976	3.03088763843559e-12	"Egr1"	"early growth response 1"
"ENSMUSG00000038500"	-0.0341397371297011	0.0255894105599877	"Prr3"	"proline-rich polypeptide 3"
"ENSMUSG00000038550"	-0.0428409753310496	0.0073758842955597	"Ciart"	"circadian associated repressor of transcription"
"ENSMUSG00000038642"	0.0452381592946996	8.12472842457569e-09	"Ctss"	"cathepsin S"
"ENSMUSG00000038764"	0.0242512414695094	0.0127969129591504	"Ptpn3"	"protein tyrosine phosphatase, non-receptor type 3"
"ENSMUSG00000038855"	0.0246713130614498	0.027861220900423	"Itpkb"	"inositol 1,4,5-trisphosphate 3-kinase B"
"ENSMUSG00000039059"	-0.0279428114025826	0.00272211594352148	"Hrh3"	"histamine receptor H3"
"ENSMUSG00000039109"	0.13431105459839	4.63390081232729e-05	"F13a1"	"coagulation factor XIII, A1 subunit"
"ENSMUSG00000039167"	0.0300917058692935	0.0444092559416012	"Adgrl4"	"adhesion G protein-coupled receptor L4"
"ENSMUSG00000039236"	0.136358068202277	0.0349220908057392	"Isg20"	"interferon-stimulated protein"
"ENSMUSG00000039278"	-0.0275449302154962	0.00272211594352148	"Pcsk1n"	"proprotein convertase subtilisin/kexin type 1 inhibitor"
"ENSMUSG00000039304"	0.0715307469676769	0.00286648315299271	"Tnfsf10"	"tumor necrosis factor (ligand) superfamily, member 10"
